REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
NORTHEAST,NEW ENGLAND MARKET,,USC7043A,USC7043A-444556,Joshua Wagg (JWagg1),Monopole,ON-AIR,2025-09-03,G045568164,,,"Drive up year round COMPOUND- 8722 LOCKBOX- 8722 LTE CAB- E// DIMPLE KEY // Step: 1-COMPOUND-COMBO-8722-,Step: 2-LOCKBOX-COMBO-8722-,Step: 3-LTE CAB-KEYED-E// DIMPLE KEY- //  //",,,,,,,,,,,No,,,,,,,,,,,,"From I-95 north take exit 132 onto SR 139 to Fairfield Benton, go .5 miles turn right onto Industrial Road go 450 feet turn left continue 350 feet to destination on right. (The site is behind city of Fairfield public works location) ACCESS POINT (44.5914650000, -69.6096920000)",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7336A,USC7336A-556442,Hairon Nunez-Ynfante (HNunezy1),Guyed Tower,ON-AIR,2025-09-03,68357,,,"(COMPOUND combo:0243 key:5B2)(BUILDING DOOR / Lockbox combo:2225 key:5B2) // Step: 1-Compound--Combo 0243, Key 5B2-,Step: 2-Door-5B2 Key--,Step: 3-Lockbox combo--2225- //  //",,,,,,,,,,,No,,,,,,,,,,,,"1-40 west exit 364 (hwy 24).....Take hwy 24 east thru Warsaw About 4 miles . Stay on 24 into Kenansville .....Continue around traffic loop in center of town to hwy 11 ""pink hill"" go pass hospital,Baseball Field, OLD Bible store ……..About 1 mile to ""SANDCASTLE"" Daycare Gravel road just after that Business.",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7244A,USC7244A-556670,Hairon Nunez-Ynfante (HNunezy1),Self Support Tower,ON-AIR,2025-09-03,14437222,,,"(COMPOUND combo:0243 key:5B2)(BUILDING DOOR Lock-Box: 2133 key:5B2) // Step: 1-Compound--COMBO: 0243  KEY: 5B2-,Step: 2-Building Door--LOCKBOX: 2133  KEY: 5B2- //  //",,,,,,,,,,,No,,,,,,,,,,,,"From Wilmington go 74/76 West 46.21 miles to the second Whiteville exit, make left off exit go south 5.77 miles make right on Rough and Ready Road, go 3.94 miles to Woodrow Noble RD make left, go .34 of a mile site on the right.",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7862A,USC7862A-561326,Charles Smith (CSmith682),Self Support Tower,ON-AIR,2025-09-03,160181919,,,"(GATE 1 combo:0243 key:5B2 or AAA)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:5B2) (BUILDING DOOR combo:2230 key 5B2) // Step: 1-Compound fence-combo lock-0243-fence gate,Step: 2-Door-lockbox-2230-Lock box is on door with key inside. //  //",,,,,,,,,,,No,,,,,,,,,,,,"from henderson, take I-85 north to exit 229, oine exit, at top of exit, turn left, just past store, left on gravel road to site.  (167 Meadow Rd, Norlina, NC  27563)",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7311A,USC7311A-556373,Leon Cummings (LCummin10),Guyed Tower,ON-AIR,2025-09-03,T75027,,,(COMPOUND combo:0243 key:5B2)(BUILDING DOOR combo:Lock Box 2113  key:5B2) //  //  //,,,,,,,,,,,No,,,,,,,,,,,,Take Hwy. 211 from Raeford or Lumberton (exit 20).  Turn north on to Lowery Road just south of Red Springs.  Go 1 3/10 miles and turn right on Dixie Rd. at the convenient store.  Turn left on path into field.  Go through farm gate. Access compound gate with 5B2 key or combo 0243. Door is 5B2.,,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7856A,USC7856A-561350,Charles Smith (CSmith682),Self Support Tower,ON-AIR,2025-09-03,331547798,,,"(GATE 1 combo:0243 key:5B2)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:5B2 or AAA)(BUILDING DOOR combo:2255 key:5B2) // Step: 1-Road Fence-combo lock-0243-Chain or stymie lock on fence at entrance to recycling center,Step: 2-Compound fence-combo lock-0243-Stymie lock or chain on fence surrounding tower inside recycling center,Step: 3-Door-Lock box-2255- //  //",,,,,,,,,,,No,,,,,,,,,,,,"Take hwy 96 North out of Oxford. Turn left on Charlie Stovall Road.Path is several miles on right inside recycling center, just past Bennie Blackwell Rd.",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7267A,USC7267A-556591,Hairon Nunez-Ynfante (HNunezy1),Monopole,ON-AIR,2025-09-03,20012315,,,Use 34.530567 -78.086668 ; Turn off of Hwy 421 headed west on Hwy 11.  Monopole tower will be on the south side of Hwy 11 at the end of an unmarked gravel road.  Gate - 0243  Key to cabinet is in the power shut off box with a 0243 combo on the box. // Step: 1-Compound-Power box next to cabinet-0243-cabinet key is in the power box the combo is 0243 // 919-915-9911 // None,,,,,,,,,,,No,,,,,,,,,,,,Use 34.530567 -78.086668 ; Turn off of Hwy 421 headed west on Hwy 11.  Monopole tower will be on the south side of Hwy 11 at the end of an unmarked gravel road.  Gate - 0243  Key to cabinet is in the power shut off box with a 0243 combo on the box.,,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7652A,USC7652A-556735,Charles Smith (CSmith682),Monopole,ON-AIR,2025-09-03,E88735,,,"Gate Combo: 0243  Door: Falcon  Lockbox:  2537 // Step: 1-Gate--0243-,Step: 2-Building---Falcon key // 252-717-9911 //",,,,,,,,,,,No,,,,,,,,,,,,"From Hwy 11 north, turn left on unnamed road past sheets but before the overpass.  Site is visible from HWY 11",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7440A,USC7440A-556365,Leon Cummings (LCummin10),Guyed Tower,ON-AIR,2025-09-03,70353,,,(GATE 1 combo:n/a key:5B2 or AAA)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:1020 key:5B2 )(BUILDING DOOR combo:2020 key:5b2) //  //  //,,,,,,,,,,,No,,,,,,,,,,,,"From Goldsboro, Take Hwy 70 East.  Turn right on Piney Grove road.  Site is on right.",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC6622A,USC6622A-694377,Kevin Archambault (KArcham1),Flag Pole,ON-AIR,2025-09-03,S75343922,,,"Drive up all year. compound-2500 Lockbox- 4377  Door-E// dimple key // Step: 1-Compound-Combo-2500-,Step: 2-Lockbox-Combo-4377-on a/c panel NEEDS dimple key inside,Step: 3-Doors-Keyed-E// Dimple key and wrench key- //  //",,,,,,,,,,,No,,,,,,,,,,,,"I-93 S 0.7 mi  Use the right 2 lanes to take the NH-101 W/Interstate 293 N exit toward Manchester/Bedford 0.7 mi  Continue onto I-293 N/NH-101 W 2.5 mi  Keep left at the fork to continue on NH-101 W 2.1 mi  Use the left 2 lanes to turn left to stay on NH-101 W (signs for NH-114 N/Goffstown/Henniker) 0.4 mi  Continue straight to stay on NH-101 W Turn Left  onto Chestnut Drive. Follow to the end and a short access road to the site  Access Point(42.938961, -71.519605 )",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC7057A,USC7057A-444440,Jonathan Skaggs (JSkaggs8),Self Support Tower,ON-AIR,2025-09-03,L127318608,,,"ATV in winter Drive up rest of year
Compound-8722 Lockbox-8722 Door-
6A9 Key // Step: 1-Compound-Combo-8722-,Step: 2-Lockbox-Combo-8722-On Door- Key inside,Step: 3-Door-Keyed-6A9 key- //  //",,,,,,,,,,,No,,,,,,,,,,,,"""From Hampden Intersection Rt 202/Rt 9 and 1A Go south on Rt 1A for 3.6 miles. At Mailbox 1088 Take Right up driveway. Continue straight past landowner's white house. Follow road to site.Winter: snowmobile or track vehicle. (site rd is 3,300 feet long"" ACCESS POINT(44.6625640000,-68.8315760000)",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC7073A,USC7073A-444520,Joshua Wagg (JWagg1),Bell Tower,ON-AIR,2025-09-03,G053050622,,,"Drive up: All  Seasons. Site is housed in the basement of an old church/VFW hall.  Access is through the rear door 
Lockbox-8722 Door- special key  Lockbox-4520 Door- 6A9 Key // Step: 1-Lockbox-Combo-4520-Back Door,Step: 2-Door-Keyed-Special Key-On Door Frame-  Key inside,Step: 3-Lockbox-Combo-4520-,Step: 4-Door-Keyed-6A9 Key-On Door- Key inside //  //",,,,,,,,,,,No,,,,,,,,,,,,"From the intersection of Rt 2/201 and Rt 104, Go south on Rt 104 .1 mile. Site is at 37 Main St, which is between Fairview and Heather St. Drive around to the back of the building. ACCESS POINT (44.760470, -69.716819)",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7484A,USC7484A-556507,Charles Smith (CSmith682),Guyed Tower,ON-AIR,2025-09-03,76778822,,,(GATE 1 combo:0243 key:5B2)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:5B2)(BUILDING DOOR combo:n/a key:5B2) Lock Box 2494 //  //  //,,,,,,,,,,,No,,,,,,,,,,,,"from Chocowinity,NC hwy.33E to Blounts Creek,app.15 mile,site is just beyond fire station on left",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7668A,USC7668A-463303,Leon Cummings (LCummin10),Guyed Tower,ON-AIR,2025-09-03,328428710,,,(GATE 1 combo:n/a key:n/a)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:n/a)(BUILDING DOOR combo:2614 key:5b2) //  //  //,,,,,,,,,,,No,,,,,,,,,,,,"From Sanford, take 421 North, go about 29 miles.  Take exit 168, turn right at the bottom of the exit ramp, go about 2 miles to the next stop sign.  Turn left on Alston Bridge Rd. and go about 1 mile.  The tower is on the right.  (2522 Alston Bridge Rd, Siler City, NC  27344)",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7396A,USC7396A-556356,Hairon Nunez-Ynfante (HNunezy1),Guyed Tower,ON-AIR,2025-09-03,10477091,,,"(GATE 1 combo:0243 key:5B2)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:5B2)(BUILDING DOOR combo:n/a key:5B2) Lock Box 2432 // Step: 1-Road Gate-N/A-0243-N/A,Step: 2-Compound Gate-N/A-5B2/0243-N/A //  // NONE",,,,,,,,,,,No,,,,,,,,,,,,35.197661  -77.585064  1 MI W OF INTERSEC OF SR 58 & SR 1909   KINSTON   NC,,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7509A,USC7509A-556427,Charles Smith (CSmith682),Guyed Tower,ON-AIR,2025-09-03,E48944,,,"(GATE 1 combo:0243 key:5B2)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:5B2)(BUILDING DOOR combo:n/a key:Falcon) // Step: 1-Road Gate--0243-,Step: 2-Gate--0243-,Step: 3-Building---Falcon // 252-717-9911 //",,,,,,,,,,,No,,,,,,,,,,,,"From Greenville, Take 43 south to Calico, take left onto NC 102, Tower will be on left",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC7107A,USC7107A-424349,Jonathan Skaggs (JSkaggs8),Self Support Tower,ON-AIR,2025-09-03,007700713,,,"ATV only  This is an expert trail, can be extremely rough. Access to this site requires 2 people for safety. DO NOT ATTEMPT ACCESS OTHERWISE!    Compound-2500  Lockbox-8722 Door-
6A9 Key // Step: 1-Compound-combo-2500-,Step: 2-Lockbox-Combo-8722-on  door- key inside,Step: 3-Door-Keyed-6A9 Key- //  //",,,,,,,,,,,No,,,,,,,,,,,,"From the Airline Snack Bar take Route 9 East 1.1 mile. Turn on to the CC Road on Right. Park in lot across from Forestry Building to unload ATV. Stay right leaving parking lot and follow trail to site. This is an expert trail, can be extremely rough. Access Point  ( 44 51 51.71,  -68 06 36.13)",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC6902A,USC6902A-425408,Kevin Archambault (KArcham1),Bell Tower,ON-AIR,2025-09-03,643817,,,"Plowed- Very Steep Hill (300 ft) Compound-2500 /4722  Lockbox- 5408  Door-6B2 KEY // Step: 1-Compound-Combo-2500 /4722-,Step: 2-Lockbox-Combo-5408-On Door- Key inside,Step: 3-Door-Keyed-6B2- //  //",,,,,,,,,,,No,,,,,,,,,,,,"From Rte 112 in Lincoln, NH turn onto Brookline Road (this road in between Lincoln DT and Loon Ski Resort) Take the first right turn onto a dirt road and follow about 0.3 mile you will see a road on your left that goes up hill. Turn left at the road and follow to the site (this is a steep road).Access Point (44.0531390000   -71.6521000000)",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC7117A,USC7117A-444321,Joshua Wagg (JWagg1),Self Support Tower,ON-AIR,2025-09-03,L109444286,,,"ATV access year round. Indoor shelter. Gate-8722 Road Gate1 -2500    Gate2(yellow post- 2500 Door-6A9 - Lockbox 4321# // Step: 1-Gate-combo-8722-,Step: 2-Site road Gate-combo-2500-,Step: 3-Yellow post between rocks-combo-2500-Latch is in covered side.  you need to pick up on latch and turn the post before removing.,Step: 5-Door-keyed-6A9-,Step: 6-Lockbox-combo-4321#- // 2077541104 //",,,,,,,,,,,No,,,,,,,,,,,,"Travel west on RT 4 right into the town of Oquossac. Just past the Polaris dealership on your right, look for your second on left onto Old Skiway Rd right off of RT 4. Take the left and travel all the way to the end (in the summer) where you will eventually reach a brown gate. Our USCC 8722 lock is on there, then head through the gate and park in the shooting range. In the Winter, park in the parking lot of the gun club that is a quarter mile on your right once you take the left onto Old Skiway rd. At the shooting range, the access trail to the top of the mountain is in just before the shooting range on your left. Look for Gate on your left. The Road goes right to the site.  make sure you are careful. Access Point(44.9530740000 ,-70.7750050000)",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC7072A,USC7072A-296361,Jonathan Skaggs (JSkaggs8),Bell Tower,ON-AIR,2025-09-03,8134918,,,"Drive up all year Compound-8722  Lockbox-8722  Door- 6A9 Key // Step: 1-compound-combo-8722-,Step: 2-Lockbox-combo-8722-on door- key inside,Step: 4-Door-Keyed-6A9 Key- //  //",,,,,,,,,,,No,,,,,,,,,,,,"Get off at Exit 4 in Brewer / Bangor. Turn left toward Orrington. After crossing the Orringto town line, just past the first Gas station on left will be Rocky Knoll Golf Coarse. Site is straight down the road under the flag pole. Access Point(44.7603150000 , -68.7890740000)",,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,,USC7585A,USC7585A-556775,Charles Smith (CSmith682),Monopole,ON-AIR,2025-09-03,29799,,,"(GATE 1 combo:0243 key:5B2)( GATE 2 combo:n/a key:n/a)(COMPOUND combo:0243 key:5B2)(BUILDING DOOR combo:2529 key:Falcon) // Step: 1-Gate--0243-,Step: 2-Building---Falcon Key // 252-717-9911 //",,,,,,,,,,,No,,,,,,,,,,,,"From 1436 Highland DR, turn into the Social services parking lot.  Follow the driveway to the right until you come to the site gate.",,,,,,,,,,,,,,,,,
NORTHEAST,NEW ENGLAND MARKET,,USC6910A,USC6910A-444341,Cleo Trumann (CTruman1),Self Support Tower,ON-AIR,2025-09-03,G052130706,,,"drive up all year.  Gate- Compound- 8722 Lockbox- 4341  Door-
6A9 Key // Step: 1-Compound-Combo-8722-Gate,Step: 2-LOCK  BOX-Combo-4341-On Door- Key inside,Step: 3-DOOR-KEYED-6A9 KEY- //  //",,,,,,,,,,,No,,,,,,,,,,,,"From Rockland turn right towards Owlshead. Aprox 3 miles turn left towards ""Owlshead light"" then right onto LMNOP drive. Site is at the end of this road  Access Point (44.081721 , -69.091838)",,,,,,,,,,,,,,,,,
CENTRAL,DETROIT MI,TEK: Westley Webber / Smartlink: Leticia Zayas,LN02121A,ATC 81135,Troy Haven (THaven1),Monopole,ON-AIR,2025-09-02,30206842,200.0,1.0,"24x7 access, gen deployable-cam-locks, ATC Monopole. The site is located behind First Baptist Church of Eaton Rapids in the back of the parking lot. Gate 2055 Cabinet 5463",,Yes,Cam Lock,40.0,No,2055,2055,2055,,2055,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,The site is located behind First Baptist Church of Eaton Rapids in the back of the parking lot right off Kinneville Rd.,,,,,,,,,,,,,,,,No,
WEST,LOS ANGELES,Nikki Alba,LA84653A,LA52XC230-Budget Rent A Car Norwalk,Myk Lim (MLim1),Billboard,ON-AIR,2025-09-02,10761752,200.0,,"Contact landlord as required under access notes. Contact information below
Landlord is Phil Arey, General Manager at Budget Rent a Car of Norwalk. Availability for site walk is Mondays and Tuesdays from 9am-7pm. Please contact at (562) 756-1470 or parey@budgetnorwalk.com when scheduled.

Outdoor Site (No Traccess Required)
-Required for access:
1) 0602 combo for main gate and cabinet.
     Cabinet is on the ground, antennas are in the sign. Cabinet is in northwest corner of Budget Rent-a-Car sales lot. Best 24/7 access is through Guest House Hotel parking lot, at northeast corner of lot through the man gate. Conditional 24/7: Full access without notice during business hours (below) - after hours only pedestrian access w/o notice.
Landlords normal business hours are M-F:8am-6pm; Sat: 9am-6pm; Sun: 10am-5pm.

[Richard Alonzo, 6/13/2012] Paking lot. Budget Rental Car/Guest House Hotel. 24/7 access is through Guest House Hotel parking lot, at northeast corner of lot through the man gate. Full access without notice during business hours (below) - after hours only pedestrian gate accessible w/o notice. Land owner normal business hours are M-F:8am-6pm; Sat: 9am-6pm; Sun: 10am-5pm. Cabinet combo 2403, tower door access combo 0602.",,Yes,Cam Lock,15.0,Yes,"0602 combo, 2403,, 0602.",,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Directions from T-Mobile Irvine Office: (2008 McGaw Ave, Irvine, CA 92614)

1.	Get on CA-55 N/State Rte 55 N from McGaw Ave and MacArthur Blvd
2.	Head northwest toward McGaw Ave
3.	Turn right
4.	Turn left onto McGaw Ave
5.	Use the 2nd from the left lane to turn left onto Red Hill Ave
6.	Turn right onto MacArthur Blvd
7.	Turn right to merge onto CA-55 N/State Rte 55 N toward Riverside
8.	Take I-5 N to Rosecrans Ave in Norwalk. Take exit 120B from I-5 N
9.	Follow Rosecrans Ave to your destination

",,,,,,,,,,,,,,,,,
SOUTH,MIAMI FL,Michelle Perez,6WP1326A,ATC 302858 Monopole,Paul Dillon (PDILLON),Monopole,ON-AIR,2025-09-02,AC44718,200.0,,ATC site. 1760. Located behind empty warehouse buildings. NOT a safe area for night dispatch due to seclusion and crime..,Security Escort Required,Yes,Cam Lock,100.0,Yes,SES Lock,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,I95 to Belvedere Rd. West to 5th St. then North about a 1/4 mile tower on the left. Monopole.,,,,,,,,,,,,,,,,No,
SOUTH,BIRMINGHAM,Kristi Anderson,9BH7283A,9BH7283A,Matthew Green (MGreen52),Guyed Tower,ON-AIR,2025-09-02,198 053 881,200.0,1.0,"Check in with the SBA Sites Connect app on your mobile device.
Most of the gate combos should be 4722. If not, the contractor will need to reach out to the RSM. Refer to the NTP for site specific notes.",,Yes,Cam Lock,20.0,No,4722,4722,4722,,4722,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head toward Inverness Center Pkwy. Go for 213 ft.

Then 0.04 miles

Turn right onto Inverness Center Pkwy. Go for 0.8 mi.

Then 0.8 miles

Continue on Inverness Pkwy. Go for 1.4 mi.

Then 1.4 miles

Turn right onto Valleydale Rd (CR-17). Go for 5.4 mi.

Then 5.4 miles

Take ramp onto I-65 S toward Montgomery. Go for 79.2 mi.

Then 79.2 miles

Take exit 168 toward US-80 E/US-82 E/US-31/South Boulevard/US-231/US-331. Go for 0.2 mi.

Then 0.2 miles

Turn left onto W South Blvd (US-80 E/US-82 E). Go for 1.6 mi.

Then 1.6 miles

Turn right onto S Court St (US-331 S) toward Luverne. Go for 16.2 mi.

Then 16.2 miles

Turn left onto AL-94. Go for 358 ft.

Then 0.07 miles

Continue on State Highway 94 (AL-94). Go for 4.9 mi.

Then 4.9 miles

Continue on AL-94. Go for 240 ft.

Then 0.05 miles

Continue on State Highway 94 (AL-94). Go for 0.1 mi.

Then 0.1 miles

Continue on AL-94. Go for 82 ft.

Then 0.02 miles

Continue on State Highway 94 (AL-94). Go for 0.1 mi.

Then 0.1 miles

Turn right onto Highway 94 (AL-94). Go for 4.2 mi.

Then 4.2 miles

Continue on AL-94. Go for 315 ft.

Then 0.06 miles

Turn right onto Huffman Rd (CR-39). Go for 5.1 mi.

Then 5.1 miles

Continue on County Road 1107 (CR-1107). Go for 5.9 mi.

Then 5.9 miles

Turn left onto County Road 1101 (CR-1101). Go for 0.3 mi.

Then 0.3 miles

Turn right onto County Road 1135 (CR-1135). Go for 6.4 mi.

Then 6.4 miles


244 CR-1135

Goshen, AL 36035",,,,,,,,,,,,,,,,No,
CENTRAL,KANSAS CITY KS,Rob Goetz,A5P0110A,Harmoni Towers_2711139,Cory Metge (CMetge1),Self Support Tower,ON-AIR,2025-09-02,73250249,200.0,,Gate: 4601,,Yes,Cam Lock,25.0,No,4601 / 4227,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From KC switch, take I-49 S to Harrisonville, MO, then take MO 7 SE toward Clinton, MO and through Warsaw, MO.  At Warsaw take US 65 S, turn L or E on MO 7 to Greenwood, MO, At Greenworod, turn R on MO 5 toward and through Camdenton, at Lebanon, MO turn L or E on MO 32, at Lynchburg, turn L and stay on MO 32 toward and through Plato, MO.  At Roby, MO turn L or N on MO 17, turn R or N on MO Hwy AW, then turn R or E on Eveningshade Rd, then turn R or S on Verbena Drive, tower will be on your R about 1 blk.",,,,,,,,,,,,,,,,No,
SOUTH,HOUSTON TX,,A3M1032B,A3M1032,Javier Lepe (JLepe),Utility Pole,ON-AIR,2025-09-02,345217245,100.0,0.0,50ft pole in ROW - access unrestricted,,No,No Gen Plug Available,0.0,No,,,,,9032,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"4700 W Sam Houston Pkwy N #200
Houston, TX 77041

Get on Sam Houston Tollway S from TX-8 Beltway N
3 min (2.1 mi)

Head north on TX-8 Beltway N toward Equity Dr

0.9 mi

Turn left toward TX-8 Beltway S

400 ft

Slight left onto TX-8 Beltway S

0.9 mi

Use the left lane to take the ramp onto Sam Houston Tollway S
 Toll road

0.3 mi

Take I-10 W and TX-99 S to W Grand Pkwy S in Fort Bend County. Take the W Bellfort St exit from TX-99 S
25 min (25.2 mi)

Merge onto Sam Houston Tollway S
 Toll road

2.6 mi

Use the right 2 lanes to merge onto I-10 W toward San Antonio

8.9 mi

Keep right to stay on I-10 W

4.1 mi

Use the right 2 lanes to take exit 743B to merge onto TX-99 S
 Toll road

9.4 mi

Take the W Bellfort St exit toward Mason Rd

0.3 mi

Use the middle 2 lanes to continue toward W Grand Pkwy S

75 ft

Follow W Grand Pkwy S to Mason Rd
2 min (0.7 mi)

Keep right to continue on W Grand Pkwy S

0.6 mi

Turn right onto Mason Rd
 Destination will be on the right

197 ft
Richmond
Texas 77406",,,,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,,CH96158A,SBA IL16350-B,Jamie Armstrong (JArmstr23),Monopole,ON-AIR,2025-09-02,274 231 590,200.0,1.0,"SBA #IL16350 MONOPOLE GROUND SITE. 24x7 no restrictions. Gate Combo: 4722, TMO combo 1375.
Backahul Provider - GREAT PLAINS COMM
03122026JA
meter#274231590",,Yes,Cam Lock,50.0,No,4722,4722,4722,,4722,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,HWY 26 N to Cedarville Rd. Pull in at residence driveway,,,,,,,next to bts,,,,,,,,,No,
CENTRAL,LOUISVILLE,,9LV4472A,TBD,Christopher Ash (CAsh),Self Support Tower,ON-AIR,2025-09-02,115669027,200.0,,"*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is 
US-IL-5005. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 

Vertical Bridge Regional Operations Manager:
Name: Michael Szafoni
Phone: (561) 843-8422
Email: mike.szafoni@verticalbridge.com

***********************
Previous Access Details
**********************
Combo: 0951 or 2055, 2024",,Yes,Cam Lock,40.0,No,Combo: 0951,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"From T-Mobile office located at 5209 Linbar Dr, Nashville, TN 37211; Merge onto I-24 W towards Nashville, take exit 81 for N Hopkinsville, continue onto I-69, continue onto Pennyrile Pkwy, continue onto US Hwy 41 N, merge onto I-64 W via the ramp to St. Louis, merge onto I-64 W, take exit 130 for IL-1 towards Grayville/Carmi, turn left onto IL-1 N, turn left onto IL-130 N, turn right onto IL-130 N, turn left onto County Rd 1850 N. Access drive will be on the left.

Driving Distance: 220 miles
Driving Time: 3 hours 40 minutes
",,,,,,,,,,,,,,,,No,
